Date,Year,Month,WaterYear,Discharge626_Q_level,Discharge626_Q_flags,Discharge626,Discharge626_Min,Discharge626_Max,Discharge1015_Q_level,Discharge1015_Q_flags,Discharge1015,Discharge1015_Min,Discharge1015_Max,Discharge693_Q_level,Discharge693_Q_flags,Discharge693,Discharge693_Min,Discharge693_Max,Discharge703_Q_level,Discharge703_Q_flags,Discharge703,Discharge703_Min,Discharge703_Max,Discharge708_Q_level,Discharge708_Q_flags,Discharge708,Discharge708_Min,Discharge708_Max,Discharge819_Q_level,Discharge819_Q_flags,Discharge819,Discharge819_Min,Discharge819_Max,Discharge844_Q_level,Discharge844_Q_flags,Discharge844,Discharge844_Min,Discharge844_Max
9/5/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
9/6/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
9/7/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
9/8/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
9/9/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,EV:SVC:7/288 EV:281/288 SVC,0.040431597,0,0.126348611,1,,,,,1,,,,
9/10/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,SVC:stage unstable (~1 cm variations) following sensor installation,0.035230556,0,0.129601389,1,,,,,1,,,,
9/11/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,SVC:stage unstable (~1 cm variations) following sensor installation,0.028709722,0,0.135520139,1,,,,,1,,,,
9/12/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,SVC:stage unstable (~1 cm variations) following sensor installation,0.025563889,0,0.135177083,1,,,,,1,,,,
9/13/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,SVC:stage unstable (~1 cm variations) following sensor installation,0.021688542,0,0.132229514,1,,,,,1,,,,
9/14/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,SVC:stage unstable (~1 cm variations) following sensor installation,0.019137847,0,0.124740278,1,,,,,1,,,,
9/15/2013,2013,Sep,2012-2013,1,,,,,1,,,,,1,,,,,1,,,,,2,SVC:stage unstable (~1 cm variations) following sensor installation,0.016532292,0,0.116194097,1,,,,,1,,,,
